# Energy	Flux
# keV	photon/(cm**2*s*keV)
1.895950000000000135e-01	1.948212121212138879e-05
1.905850000000000044e-01	2.432404040404063047e-05
1.915749999999999953e-01	3.710949494949529530e-05
1.925649999999999862e-01	2.358050505050526713e-05
1.935550000000000048e-01	4.397353535353576090e-05
1.945449999999999957e-01	1.462232323232336888e-04
1.955350000000000144e-01	1.085808080808090752e-04
1.965250000000000052e-01	4.228313131313170227e-05
1.975149999999999961e-01	7.855575757575829275e-05
1.985049999999999870e-01	2.371858585858607603e-05
1.994950000000000057e-01	1.226868686868698201e-05
2.004849999999999965e-01	4.797292929292973151e-05
2.014750000000000152e-01	6.693818181818243275e-05
2.024650000000000061e-01	1.243838383838395265e-05
2.034549999999999970e-01	2.783939393939419637e-04
2.044449999999999878e-01	6.308797979798038053e-06
2.054350000000000065e-01	7.559818181818251416e-06
2.064249999999999974e-01	4.030242424242461190e-05
2.074150000000000160e-01	8.904989898989980625e-06
2.084050000000000069e-01	4.332000000000039839e-05
2.093949999999999978e-01	1.080717171717181666e-05
2.103849999999999887e-01	5.583858585858637328e-06
2.113750000000000073e-01	4.828353535353579417e-06
2.123649999999999982e-01	6.160101010101066875e-06
2.133550000000000169e-01	5.836343434343488098e-06
2.143450000000000077e-01	5.205454545454593071e-05
2.153349999999999986e-01	5.029686868686914606e-06
2.163249999999999895e-01	4.916020202020247729e-05
2.173150000000000082e-01	2.776989898989924439e-05
2.183049999999999990e-01	1.216626262626273738e-05
2.192950000000000177e-01	1.478121212121225742e-05
2.202850000000000086e-01	1.404050505050517890e-05
2.212749999999999995e-01	2.187474747474767346e-05
2.222649999999999904e-01	1.091494949494959473e-05
2.232550000000000090e-01	1.332050505050517393e-05
2.242449999999999999e-01	2.550191919191942876e-04
2.252349999999999908e-01	2.513484848484871643e-05
2.262250000000000094e-01	2.658949494949519273e-05
2.272150000000000003e-01	2.643282828282852813e-05
2.282049999999999912e-01	3.910434343434379282e-05
2.291949999999999821e-01	6.337141414141472492e-05
2.301850000000000007e-01	4.877131313131357707e-06
2.311749999999999916e-01	1.160949494949505494e-05
2.321650000000000102e-01	7.300797979798047360e-06
2.331550000000000011e-01	1.935060606060623781e-05
2.341449999999999920e-01	5.414565656565706434e-05
2.351349999999999829e-01	4.623414141414183538e-05
2.361250000000000016e-01	2.774414141414167191e-05
2.371149999999999924e-01	3.324000000000030516e-05
2.381050000000000111e-01	9.122212121212205379e-06
2.390950000000000020e-01	4.125454545454583421e-06
2.400849999999999929e-01	9.882949494949586650e-06
2.410749999999999837e-01	5.107444444444491842e-06
2.420650000000000024e-01	9.587181818181905607e-06
2.430549999999999933e-01	9.730434343434431980e-06
2.440450000000000119e-01	2.076888888888907779e-05
2.450350000000000028e-01	1.032191919191928747e-04
