# Energy	Flux
# keV	photon/(s*keV*arcmin**2)
1.885000000000000009e-01	7.124262033507668341e-04
1.895000000000000018e-01	7.094548355642231593e-04
1.905000000000000027e-01	7.064976509174719903e-04
1.915000000000000036e-01	7.035865614750465465e-04
1.925000000000000044e-01	7.007073840971545387e-04
1.935000000000000053e-01	6.978672103536920574e-04
1.945000000000000062e-01	6.950447655349703980e-04
1.955000000000000071e-01	6.922613243506781566e-04
1.965000000000000080e-01	6.895097952309192429e-04
1.975000000000000089e-01	6.867972697455899641e-04
1.985000000000000098e-01	6.840953816151050916e-04
1.995000000000000107e-01	6.814324971190497456e-04
2.005000000000000115e-01	6.787979789025796280e-04
2.015000000000000124e-01	6.761953727506427297e-04
2.025000000000000133e-01	6.736282244481872584e-04
2.034999999999999865e-01	6.710717135005763020e-04
2.044999999999999873e-01	6.685506604024466643e-04
2.054999999999999882e-01	6.660579735839022549e-04
2.064999999999999891e-01	6.635971988298910648e-04
2.074999999999999900e-01	6.611506072156723805e-04
2.084999999999999909e-01	6.587359276659871324e-04
2.094999999999999918e-01	6.563460686109387964e-04
2.104999999999999927e-01	6.539810300505274811e-04
2.114999999999999936e-01	6.516514493395975929e-04
2.124999999999999944e-01	6.493254144136159124e-04
2.134999999999999953e-01	6.470348373371155506e-04
2.144999999999999962e-01	6.447690807552522094e-04
2.154999999999999971e-01	6.425245988830777895e-04
2.164999999999999980e-01	6.403120290754365888e-04
2.174999999999999989e-01	6.381065508376918037e-04
2.184999999999999998e-01	6.359329846644801295e-04
2.195000000000000007e-01	6.337806932009574850e-04
2.205000000000000016e-01	6.316461306621753372e-04
2.215000000000000024e-01	6.295470259728748333e-04
2.225000000000000033e-01	6.274479212835742210e-04
2.235000000000000042e-01	6.253807286588069364e-04
2.245000000000000051e-01	6.233348107437284647e-04
2.255000000000000060e-01	6.213066217533907065e-04
2.265000000000000069e-01	6.193032532576899689e-04
2.275000000000000078e-01	6.173247052566262520e-04
2.285000000000000087e-01	6.153497030405106344e-04
2.295000000000000095e-01	6.133995213190320374e-04
2.305000000000000104e-01	6.114706143072422533e-04
