# Energy	Flux
# keV	photon/(cm**2*s*keV*arcmin**2)
 0.3265  2.9980e-4
 0.3275  2.9980e-4
 0.3285  2.9980e-4
 0.3295  2.9980e-4
 0.3305  2.9980e-4
 0.3315  2.9980e-4
 0.3325  2.9980e-4
 0.3335  2.9980e-4
 0.3345  2.9980e-4
 0.3355  2.9980e-4
 0.3365  2.9980e-4
 0.3375  2.9980e-4
 0.3385  2.9980e-4
 0.3395  2.9980e-4
 0.3405  2.9980e-4
 0.3415  2.9980e-4
 0.3425  2.9980e-4
 0.3435  2.9980e-4
 0.3445  2.9980e-4
 0.3455  2.9980e-4
 0.3465  2.9980e-4
 0.3475  2.9980e-4
 0.3485  2.9980e-4
 0.3495  2.9980e-4
 0.3505  2.9980e-4
 0.3515  2.9980e-4
 0.3525  2.9980e-4
 0.3535  2.9980e-4
 0.3545  2.9980e-4
 0.3555  2.9980e-4
 0.3565  2.9980e-4
 0.3575  2.9980e-4
 0.3585  2.9980e-4
 0.3595  2.9980e-4
 0.3605  2.9980e-4
 0.3615  2.9980e-4
 0.3625  2.9980e-4
 0.3635  2.9980e-4
 0.3645  2.9980e-4
 0.3655  2.9980e-4
 0.3665  2.9980e-4
 0.3675  2.9980e-4
 0.3685  2.9980e-4
 0.3695  2.9980e-4
 0.3705  2.9980e-4
 0.3715  2.9980e-4
 0.3725  2.9980e-4
 0.3735  2.9980e-4
 0.3745  2.9980e-4
 0.3755  2.9980e-4
 0.3765  2.9980e-4
 0.3775  2.9980e-4
 0.3785  2.9980e-4
 0.3795  2.9980e-4
 0.3805  2.9980e-4
 0.3815  2.9980e-4
 0.3825  2.9980e-4
 0.3835  2.9980e-4
 0.3845  2.9980e-4
 0.3855  2.9980e-4
 0.3865  2.9980e-4
 0.3875  2.9980e-4
 0.3885  2.9980e-4
 0.3895  2.9980e-4
 0.3905  2.9980e-4
 0.3915  2.9980e-4
 0.3925  2.9980e-4
 0.3935  2.9980e-4
 0.3945  2.9980e-4
 0.3955  2.9980e-4
 0.3965  2.9980e-4
 0.3975  2.9980e-4
 0.3985  2.9980e-4
 0.3995  2.9980e-4
 0.4005  2.9980e-4
 0.4015  2.9980e-4
 0.4025  2.9980e-4
 0.4035  2.9980e-4
 0.4045  2.9980e-4
 0.4055  2.9980e-4
 0.4065  2.9980e-4
 0.4075  2.9980e-4
 0.4085  2.9980e-4
 0.4095  2.9980e-4
 0.4105  2.9980e-4
 0.4115  2.9980e-4
 0.4125  2.9980e-4
 0.4135  2.9980e-4
 0.4145  2.9980e-4
 0.4155  2.9980e-4
 0.4165  2.9980e-4
 0.4175  2.9980e-4
