# Energy	Flux
# keV		photon/(cm**2*s*keV*arcmin**2)
9.250000119209289551e-02	1.522382317945352142e-04
9.350000321865081787e-02	1.521866542576111780e-04
9.449999779462814331e-02	1.521253869251853574e-04
9.549999982118606567e-02	1.520566050989045177e-04
9.650000184774398804e-02	1.519821645162931626e-04
9.749999642372131348e-02	1.519049563927509254e-04
9.849999845027923584e-02	1.518271971510768987e-04
9.950000047683715820e-02	1.517506037418043824e-04
1.005000025033950806e-01	1.516754203299576216e-04
1.015000045299530029e-01	1.516020791187052427e-04
1.024999991059303284e-01	1.515297040878482650e-04
1.035000011324882507e-01	1.514573864570585712e-04
1.044999957084655762e-01	1.513852503911179974e-04
1.054999977350234985e-01	1.513143108586681744e-04
1.064999997615814209e-01	1.512467379917435705e-04
1.075000017881393433e-01	1.511836675463703054e-04
1.085000038146972656e-01	1.511267775737483530e-04
1.094999983906745911e-01	1.510763870074534700e-04
1.105000004172325134e-01	1.510317835685210601e-04
1.115000024437904358e-01	1.509921637115305723e-04
1.124999970197677612e-01	1.509583800628279437e-04
1.134999990463256836e-01	1.509308252276371672e-04
1.145000010728836060e-01	1.509072177146574835e-04
1.155000030994415283e-01	1.508870361612249956e-04
1.164999976754188538e-01	1.508717553530468337e-04
1.174999997019767761e-01	1.508629655399088020e-04
1.185000017285346985e-01	1.508615413036761899e-04
1.194999963045120239e-01	1.508672422620976211e-04
1.204999983310699463e-01	1.508800661220890515e-04
1.215000003576278687e-01	1.508990922053435866e-04
1.225000023841857910e-01	1.509226361510758842e-04
1.235000044107437134e-01	1.509483991396078724e-04
1.244999989867210388e-01	1.509747657940053382e-04
1.254999935626983643e-01	1.510010399301828579e-04
1.265000104904174805e-01	1.510262990255894328e-04
1.274999976158142090e-01	1.510495139052631759e-04
1.284999996423721313e-01	1.510691269003557697e-04
1.295000016689300537e-01	1.510855821863669535e-04
1.304999887943267822e-01	1.510999695159188526e-04
1.315000057220458984e-01	1.511110281418866588e-04
1.324999928474426270e-01	1.511173044923687478e-04
1.335000097751617432e-01	1.511185068338098919e-04
1.344999969005584717e-01	1.511137400602085375e-04
1.355000138282775879e-01	1.511018877901039665e-04
1.365000009536743164e-01	1.510823484109530572e-04
1.374999880790710449e-01	1.510548693380476149e-04
1.385000050067901611e-01	1.510204621880594184e-04
1.394999921321868896e-01	1.509811940734818233e-04
1.405000090599060059e-01	1.509387006033955671e-04
1.414999961853027344e-01	1.508938621998543524e-04
1.425000131130218506e-01	1.508490331426617025e-04
1.435000002384185791e-01	1.508067778388696956e-04
1.444999873638153076e-01	1.507673771763433823e-04
1.455000042915344238e-01	1.507310144548883537e-04
1.464999914169311523e-01	1.506981579990207131e-04
1.475000083446502686e-01	1.506686601049644924e-04
1.484999954700469971e-01	1.506418469844636270e-04
1.495000123977661133e-01	1.506177034242665597e-04
1.504999995231628418e-01	1.505966977971759911e-04
1.514999866485595703e-01	1.505797221068689521e-04
1.525000035762786865e-01	1.505684283782091927e-04
1.534999907016754150e-01	1.505626442623008972e-04
1.545000076293945312e-01	1.505610766700201427e-04
1.554999947547912598e-01	1.505614548250137083e-04
1.565000116825103760e-01	1.505620730434954323e-04
1.574999988079071045e-01	1.505623958891752284e-04
1.585000008344650269e-01	1.505602279096870488e-04
1.595000028610229492e-01	1.505547096281165315e-04
1.604999899864196777e-01	1.505464011890141843e-04
1.615000069141387939e-01	1.505348203203767500e-04
1.624999940395355225e-01	1.505187303055595274e-04
1.635000109672546387e-01	1.504982972792720216e-04
1.644999980926513672e-01	1.504751226533086370e-04
1.655000001192092896e-01	1.504495193367032084e-04
1.665000021457672119e-01	1.504211201020174717e-04
1.674999892711639404e-01	1.503900749330654781e-04
1.685000061988830566e-01	1.503569785680299476e-04
1.694999933242797852e-01	1.503228435971993540e-04
1.705000102519989014e-01	1.502879805519215933e-04
1.714999973773956299e-01	1.502529217203597833e-04
1.724999994039535522e-01	1.502184477987638669e-04
1.735000014305114746e-01	1.501869598875119657e-04
1.744999885559082031e-01	1.501608119958149459e-04
1.755000054836273193e-01	1.501399784193654995e-04
1.764999926090240479e-01	1.501255937689197236e-04
1.775000095367431641e-01	1.501191465468846979e-04
1.784999966621398926e-01	1.501202127431880624e-04
1.795000135898590088e-01	1.501277767387082182e-04
1.805000007152557373e-01	1.501418769507019001e-04
1.814999878406524658e-01	1.501643762339766389e-04
1.825000047683715820e-01	1.501965844356766217e-04
1.834999918937683105e-01	1.502394480128562608e-04
1.845000088214874268e-01	1.502931846485439787e-04
1.854999959468841553e-01	1.503569819296685518e-04
1.865000128746032715e-01	1.504287823617655182e-04
1.875000000000000000e-01	1.505053683855553197e-04
1.884999871253967285e-01	1.505842355000415532e-04
1.895000040531158447e-01	1.506633163480185721e-04
1.904999911785125732e-01	1.507413287314987810e-04
1.915000081062316895e-01	1.508181287675972710e-04
1.924999952316284180e-01	1.508938019675176831e-04
1.935000121593475342e-01	1.509675579460972622e-04
1.944999992847442627e-01	1.510381634359454545e-04
1.954999864101409912e-01	1.511037164163867518e-04
1.965000033378601074e-01	1.511620791358680928e-04
1.974999904632568359e-01	1.512104912762856409e-04
1.985000073909759521e-01	1.512474183422293447e-04
1.994999945163726807e-01	1.512737674172199675e-04
2.005000114440917969e-01	1.512903495627069834e-04
2.014999985694885254e-01	1.512969558370119260e-04
2.025000005960464478e-01	1.512937974672118303e-04
2.035000026226043701e-01	1.512817127926079682e-04
2.044999897480010986e-01	1.512618561545324967e-04
2.055000066757202148e-01	1.512358023519064568e-04
2.064999938011169434e-01	1.512037695170019135e-04
2.075000107288360596e-01	1.511639322827666135e-04
2.084999978542327881e-01	1.511159901931616561e-04
2.094999998807907104e-01	1.510614177619536071e-04
2.105000019073486328e-01	1.510023723226335142e-04
2.114999890327453613e-01	1.509407663387333717e-04
2.125000059604644775e-01	1.508770456868056018e-04
2.134999930858612061e-01	1.508114617954474390e-04
2.145000100135803223e-01	1.507446985040601130e-04
2.154999971389770508e-01	1.506781766902617968e-04
2.164999991655349731e-01	1.506141019533479772e-04
2.175000011920928955e-01	1.505543609345549037e-04
2.184999883174896240e-01	1.505003163347288099e-04
2.195000052452087402e-01	1.504533987247701785e-04
2.204999923706054688e-01	1.504156622399537002e-04
2.215000092983245850e-01	1.503879473276079418e-04
2.224999964237213135e-01	1.503696572181133695e-04
2.235000133514404297e-01	1.503595032975768749e-04
2.245000004768371582e-01	1.503559459793349514e-04
2.254999876022338867e-01	1.503585682464676342e-04
2.265000045299530029e-01	1.503665577372199913e-04
2.274999916553497314e-01	1.503794204719194805e-04
2.285000085830688477e-01	1.503975668986072436e-04
2.294999957084655762e-01	1.504196945098380919e-04
2.305000126361846924e-01	1.504434742537136889e-04
2.314999997615814209e-01	1.504674096446884991e-04
2.324999868869781494e-01	1.504909830242511968e-04
2.335000038146972656e-01	1.505135948285907482e-04
2.344999909400939941e-01	1.505345029525271660e-04
2.355000078678131104e-01	1.505529045445024288e-04
2.364999949932098389e-01	1.505685269233055380e-04
2.375000119209289551e-01	1.505811762833519842e-04
2.384999990463256836e-01	1.505913190063902550e-04
2.394999861717224121e-01	1.505987600898445774e-04
2.405000030994415283e-01	1.506033821833839472e-04
2.414999902248382568e-01	1.506045691843295074e-04
2.425000071525573730e-01	1.506003222867165756e-04
2.434999942779541016e-01	1.505896045247653338e-04
2.445000112056732178e-01	1.505722870349023783e-04
2.454999983310699463e-01	1.505489758591440036e-04
2.465000003576278687e-01	1.505205292694983884e-04
2.475000023841857910e-01	1.504870979965953061e-04
2.484999895095825195e-01	1.504472992768772651e-04
2.495000064373016357e-01	1.504002713145189166e-04
2.504999935626983643e-01	1.503475968671642024e-04
2.515000104904174805e-01	1.502910178324471497e-04
2.524999976158142090e-01	1.502302524621032282e-04
2.534999847412109375e-01	1.501662765852094324e-04
