# Energy	Flux
# keV	photon/(cm**2*s*keV)
2.390950000000000020e-01	9.374999999999999653e-04
2.400849999999999929e-01	9.374999999999999653e-04
2.410750000000000115e-01	9.374999999999999653e-04
2.420650000000000024e-01	9.374999999999999653e-04
2.430550000000000210e-01	9.374999999999999653e-04
2.440450000000000119e-01	9.374999999999999653e-04
2.450350000000000028e-01	9.374999999999999653e-04
2.460249999999999937e-01	9.374999999999999653e-04
2.470150000000000123e-01	9.374999999999999653e-04
2.480050000000000032e-01	9.374999999999999653e-04
2.489950000000000219e-01	9.374999999999999653e-04
2.499850000000000128e-01	9.374999999999999653e-04
2.509750000000000036e-01	9.374999999999999653e-04
2.519649999999999945e-01	9.374999999999999653e-04
2.529550000000000409e-01	9.374999999999999653e-04
2.539449999999999763e-01	9.374999999999999653e-04
2.549350000000000227e-01	9.374999999999999653e-04
2.559250000000000136e-01	9.374999999999999653e-04
2.569150000000000045e-01	9.374999999999999653e-04
2.579049999999999954e-01	9.374999999999999653e-04
2.588949999999999863e-01	9.374999999999999653e-04
2.598850000000000326e-01	9.374999999999999653e-04
2.608749999999999680e-01	9.374999999999999653e-04
2.618650000000000144e-01	9.374999999999999653e-04
2.628550000000000053e-01	9.374999999999999653e-04
2.638449999999999962e-01	9.374999999999999653e-04
2.648350000000000426e-01	9.374999999999999653e-04
2.658249999999999780e-01	9.374999999999999653e-04
2.668150000000000244e-01	9.374999999999999653e-04
2.678049999999999597e-01	9.374999999999999653e-04
2.687950000000000061e-01	9.374999999999999653e-04
2.697849999999999970e-01	9.374999999999999653e-04
2.707749999999999879e-01	9.374999999999999653e-04
2.717650000000000343e-01	9.374999999999999653e-04
2.727549999999999697e-01	9.374999999999999653e-04
2.737450000000000161e-01	9.374999999999999653e-04
2.747350000000000070e-01	9.374999999999999653e-04
2.757249999999999979e-01	9.374999999999999653e-04
2.767150000000000443e-01	9.374999999999999653e-04
2.777049999999999796e-01	9.374999999999999653e-04
2.786950000000000260e-01	9.374999999999999653e-04
2.796849999999999614e-01	9.374999999999999653e-04
2.806750000000000078e-01	9.374999999999999653e-04
2.816649999999999987e-01	9.374999999999999653e-04
2.826549999999999896e-01	9.374999999999999653e-04
2.836450000000000360e-01	9.374999999999999653e-04
2.846349999999999714e-01	9.374999999999999653e-04
2.856250000000000178e-01	9.374999999999999653e-04
2.866150000000000087e-01	9.374999999999999653e-04
2.876049999999999995e-01	9.374999999999999653e-04
2.885950000000000459e-01	9.374999999999999653e-04
2.895849999999999813e-01	9.374999999999999653e-04
2.905750000000000277e-01	9.374999999999999653e-04
2.915649999999999631e-01	9.374999999999999653e-04
2.925550000000000095e-01	9.374999999999999653e-04
2.935450000000000004e-01	9.374999999999999653e-04
2.945349999999999913e-01	9.374999999999999653e-04
2.955250000000000377e-01	9.374999999999999653e-04
2.965149999999999730e-01	9.374999999999999653e-04
2.975050000000000194e-01	9.374999999999999653e-04
2.984950000000000103e-01	9.374999999999999653e-04
2.994850000000000012e-01	9.374999999999999653e-04
3.004750000000000476e-01	9.374999999999999653e-04
3.014649999999999830e-01	9.374999999999999653e-04
3.024550000000000294e-01	9.374999999999999653e-04
3.034449999999999648e-01	9.374999999999999653e-04
3.044350000000000112e-01	9.374999999999999653e-04
3.054250000000000020e-01	9.374999999999999653e-04
3.064149999999999929e-01	9.374999999999999653e-04
3.074050000000000393e-01	9.374999999999999653e-04
3.083949999999999747e-01	9.374999999999999653e-04
3.093850000000000211e-01	9.374999999999999653e-04
3.103750000000000120e-01	9.374999999999999653e-04
3.113650000000000029e-01	9.374999999999999653e-04
3.123550000000000493e-01	9.374999999999999653e-04
3.133449999999999847e-01	9.374999999999999653e-04
3.143350000000000311e-01	9.374999999999999653e-04
3.153249999999999664e-01	9.374999999999999653e-04
3.163150000000000128e-01	9.374999999999999653e-04
3.173050000000000037e-01	9.374999999999999653e-04
3.182949999999999946e-01	9.374999999999999653e-04
3.192850000000000410e-01	9.374999999999999653e-04
3.202749999999999764e-01	9.374999999999999653e-04
3.212650000000000228e-01	9.374999999999999653e-04
3.222550000000000137e-01	9.374999999999999653e-04
3.232450000000000045e-01	9.374999999999999653e-04
3.242349999999999954e-01	9.374999999999999653e-04
3.252249999999999863e-01	9.374999999999999653e-04
3.262150000000000327e-01	9.374999999999999653e-04
3.272049999999999681e-01	9.374999999999999653e-04
3.281950000000000145e-01	9.374999999999999653e-04
3.291850000000000054e-01	9.374999999999999653e-04
3.301749999999999963e-01	9.374999999999999653e-04
3.311650000000000427e-01	9.374999999999999653e-04
3.321549999999999780e-01	9.374999999999999653e-04
3.331450000000000244e-01	9.374999999999999653e-04
3.341349999999999598e-01	9.374999999999999653e-04
3.351250000000000062e-01	9.374999999999999653e-04
3.361149999999999971e-01	9.374999999999999653e-04
3.371049999999999880e-01	9.374999999999999653e-04
3.380950000000000344e-01	9.374999999999999653e-04
3.390849999999999698e-01	9.374999999999999653e-04
3.400750000000000162e-01	9.374999999999999653e-04
3.410650000000000071e-01	9.374999999999999653e-04
3.420549999999999979e-01	9.374999999999999653e-04
3.430450000000000443e-01	9.374999999999999653e-04
3.440349999999999797e-01	9.374999999999999653e-04
3.450250000000000261e-01	9.374999999999999653e-04
3.460149999999999615e-01	9.374999999999999653e-04
3.470050000000000079e-01	9.374999999999999653e-04
3.479949999999999988e-01	9.374999999999999653e-04
3.489849999999999897e-01	9.374999999999999653e-04
3.499750000000000361e-01	9.374999999999999653e-04
3.509650000000000269e-01	9.374999999999999653e-04
3.519550000000000178e-01	9.374999999999999653e-04
3.529450000000000087e-01	9.374999999999999653e-04
3.539349999999999996e-01	9.374999999999999653e-04
3.549249999999999905e-01	9.374999999999999653e-04
3.559149999999999814e-01	9.374999999999999653e-04
3.569050000000000278e-01	9.374999999999999653e-04
3.578950000000000187e-01	9.374999999999999653e-04
3.588850000000000096e-01	9.374999999999999653e-04
3.598750000000000004e-01	9.374999999999999653e-04
3.608649999999999913e-01	9.374999999999999653e-04
3.618549999999999822e-01	9.374999999999999653e-04
3.628449999999999731e-01	9.374999999999999653e-04
3.638350000000000195e-01	9.374999999999999653e-04
3.648250000000000104e-01	9.374999999999999653e-04
3.658150000000000013e-01	9.374999999999999653e-04
3.668049999999999922e-01	9.374999999999999653e-04
3.677949999999999831e-01	9.374999999999999653e-04
3.687850000000000295e-01	9.374999999999999653e-04
3.697750000000000203e-01	9.374999999999999653e-04
3.707650000000000112e-01	9.374999999999999653e-04
3.717550000000000021e-01	9.374999999999999653e-04
3.727449999999999930e-01	9.374999999999999653e-04
3.737349999999999839e-01	9.374999999999999653e-04
3.747249999999999748e-01	9.374999999999999653e-04
3.757150000000000212e-01	9.374999999999999653e-04
3.767050000000000121e-01	9.374999999999999653e-04
3.776950000000000029e-01	9.374999999999999653e-04
3.786849999999999938e-01	9.374999999999999653e-04
3.796749999999999847e-01	9.374999999999999653e-04
3.806650000000000311e-01	9.374999999999999653e-04
3.816550000000000220e-01	9.374999999999999653e-04
3.826450000000000129e-01	9.374999999999999653e-04
3.836350000000000038e-01	9.374999999999999653e-04
3.846249999999999947e-01	9.374999999999999653e-04
3.856149999999999856e-01	9.374999999999999653e-04
3.866049999999999764e-01	9.374999999999999653e-04
3.875950000000000228e-01	9.374999999999999653e-04
3.885850000000000137e-01	9.374999999999999653e-04
3.895750000000000046e-01	9.374999999999999653e-04
3.905649999999999955e-01	9.374999999999999653e-04
3.915549999999999864e-01	9.374999999999999653e-04
3.925450000000000328e-01	9.374999999999999653e-04
3.935350000000000237e-01	9.374999999999999653e-04
3.945250000000000146e-01	9.374999999999999653e-04
3.955150000000000055e-01	9.374999999999999653e-04
3.965049999999999963e-01	9.374999999999999653e-04
3.974949999999999872e-01	9.374999999999999653e-04
3.984849999999999781e-01	9.374999999999999653e-04
3.994750000000000245e-01	9.374999999999999653e-04
4.004650000000000154e-01	9.374999999999999653e-04
4.014550000000000063e-01	9.374999999999999653e-04
4.024449999999999972e-01	9.374999999999999653e-04
4.034349999999999881e-01	9.374999999999999653e-04
4.044250000000000345e-01	9.374999999999999653e-04
4.054150000000000253e-01	9.374999999999999653e-04
4.064050000000000162e-01	9.374999999999999653e-04
4.073950000000000071e-01	9.374999999999999653e-04
4.083849999999999980e-01	9.374999999999999653e-04
4.093749999999999889e-01	9.374999999999999653e-04
4.103649999999999798e-01	9.374999999999999653e-04
4.113550000000000262e-01	9.374999999999999653e-04
4.123450000000000171e-01	9.374999999999999653e-04
4.133350000000000080e-01	9.374999999999999653e-04
4.143249999999999988e-01	9.374999999999999653e-04
4.153149999999999897e-01	9.374999999999999653e-04
4.163049999999999806e-01	9.374999999999999653e-04
4.172949999999999715e-01	9.374999999999999653e-04
4.182850000000000179e-01	9.374999999999999653e-04
4.192750000000000088e-01	9.374999999999999653e-04
4.202649999999999997e-01	9.374999999999999653e-04
4.212549999999999906e-01	9.374999999999999653e-04
4.222449999999999815e-01	9.374999999999999653e-04
4.232350000000000279e-01	9.374999999999999653e-04
4.242250000000000187e-01	9.374999999999999653e-04
4.252150000000000096e-01	9.374999999999999653e-04
4.262050000000000005e-01	9.374999999999999653e-04
4.271949999999999914e-01	9.374999999999999653e-04
4.281849999999999823e-01	9.374999999999999653e-04
4.291749999999999732e-01	9.374999999999999653e-04
4.301650000000000196e-01	9.374999999999999653e-04
4.311550000000000105e-01	9.374999999999999653e-04
4.321450000000000014e-01	9.374999999999999653e-04
4.331349999999999922e-01	9.374999999999999653e-04
4.341249999999999831e-01	9.374999999999999653e-04
4.351150000000000295e-01	9.374999999999999653e-04
4.361050000000000204e-01	9.374999999999999653e-04
4.370950000000000113e-01	9.374999999999999653e-04
4.380850000000000022e-01	9.374999999999999653e-04
4.390749999999999931e-01	9.374999999999999653e-04
4.400649999999999840e-01	9.374999999999999653e-04
4.410549999999999748e-01	9.374999999999999653e-04
4.420450000000000212e-01	9.374999999999999653e-04
4.430350000000000121e-01	9.374999999999999653e-04
4.440250000000000030e-01	9.374999999999999653e-04
4.450149999999999939e-01	9.374999999999999653e-04
4.460049999999999848e-01	9.374999999999999653e-04
4.469950000000000312e-01	9.374999999999999653e-04
4.479850000000000221e-01	9.374999999999999653e-04
4.489750000000000130e-01	9.374999999999999653e-04
4.499650000000000039e-01	9.374999999999999653e-04
4.509549999999999947e-01	9.374999999999999653e-04
4.519449999999999856e-01	9.374999999999999653e-04
4.529349999999999765e-01	9.374999999999999653e-04
4.539250000000000229e-01	9.374999999999999653e-04
4.549150000000000138e-01	9.374999999999999653e-04
4.559050000000000047e-01	9.374999999999999653e-04
4.568949999999999956e-01	9.374999999999999653e-04
4.578849999999999865e-01	9.374999999999999653e-04
4.588750000000000329e-01	9.374999999999999653e-04
