1.005000000000000060e-01	2.244619999999999865e-05
1.015000000000000069e-01	2.603759999999999953e-05
1.024999999999999939e-01	2.331690000000000032e-05
1.034999999999999948e-01	6.662779999999999929e-05
1.044999999999999957e-01	2.115370000000000043e-05
1.054999999999999966e-01	9.401959999999999680e-05
1.064999999999999974e-01	2.314360000000000115e-04
1.074999999999999983e-01	9.859760000000000616e-05
1.084999999999999992e-01	2.019809999999999894e-05
1.095000000000000001e-01	1.835540000000000048e-05
1.105000000000000010e-01	4.085999999999999843e-05
1.115000000000000019e-01	2.118069999999999865e-05
1.125000000000000028e-01	1.903090000000000104e-05
1.135000000000000037e-01	1.723980000000000052e-05
1.145000000000000046e-01	4.384559999999999911e-05
1.155000000000000054e-01	3.080540000000000155e-05
1.165000000000000063e-01	2.735900000000000013e-05
1.174999999999999933e-01	1.373000000000000034e-04
1.184999999999999942e-01	8.445790000000000328e-04
1.194999999999999951e-01	2.454809999999999761e-04
1.204999999999999960e-01	1.245929999999999911e-04
1.214999999999999969e-01	3.730939999999999891e-05
1.224999999999999978e-01	2.432020000000000137e-05
1.234999999999999987e-01	2.460700000000000005e-05
1.244999999999999996e-01	2.513400000000000025e-05
1.255000000000000004e-01	2.164589999999999887e-05
1.265000000000000013e-01	2.303120000000000135e-04
1.275000000000000022e-01	1.052859999999999945e-04
1.285000000000000031e-01	1.900159999999999913e-04
1.295000000000000040e-01	6.905989999999999926e-05
1.305000000000000049e-01	3.116710000000000183e-05
1.315000000000000058e-01	1.257209999999999979e-04
1.325000000000000067e-01	2.283330000000000041e-05
1.335000000000000075e-01	1.225229999999999957e-05
1.345000000000000084e-01	2.331260000000000106e-05
1.355000000000000093e-01	1.689939999999999951e-05
1.365000000000000102e-01	9.781720000000000258e-05
1.375000000000000111e-01	2.629239999999999919e-05
1.385000000000000120e-01	1.773150000000000125e-05
1.395000000000000129e-01	3.362509999999999761e-05
1.405000000000000138e-01	1.102580000000000004e-04
1.414999999999999869e-01	2.167620000000000094e-05
1.424999999999999878e-01	8.076070000000000080e-05
1.434999999999999887e-01	2.228579999999999930e-05
1.444999999999999896e-01	2.777010000000000031e-05
1.454999999999999905e-01	2.385259999999999927e-05
1.464999999999999913e-01	1.177559999999999954e-05
1.474999999999999922e-01	9.353210000000000527e-05
1.484999999999999931e-01	3.063739999999999910e-05
1.494999999999999940e-01	2.476399999999999871e-05
1.504999999999999949e-01	2.820559999999999978e-05
1.514999999999999958e-01	5.076890000000000108e-05
1.524999999999999967e-01	1.889369999999999835e-05
1.534999999999999976e-01	9.529189999999999476e-06
1.544999999999999984e-01	8.468050000000000349e-05
1.554999999999999993e-01	1.982549999999999848e-05
1.565000000000000002e-01	2.237679999999999894e-05
1.575000000000000011e-01	6.435859999999999736e-05
1.585000000000000020e-01	1.269400000000000077e-05
1.595000000000000029e-01	1.988779999999999888e-04
1.605000000000000038e-01	1.362199999999999934e-05
1.615000000000000047e-01	3.852709999999999913e-05
1.625000000000000056e-01	2.026929999999999921e-05
1.635000000000000064e-01	9.563999999999999910e-05
1.645000000000000073e-01	1.663309999999999835e-05
1.655000000000000082e-01	1.730029999999999968e-04
1.665000000000000091e-01	3.040460000000000024e-05
1.675000000000000100e-01	1.333549999999999963e-05
1.685000000000000109e-01	5.982559999999999858e-05
1.695000000000000118e-01	3.863849999999999945e-05
1.705000000000000127e-01	4.320619999999999978e-05
1.715000000000000135e-01	1.164140000000000004e-04
1.724999999999999867e-01	4.997609999999999742e-05
1.734999999999999876e-01	1.290400000000000046e-05
1.744999999999999885e-01	2.197679999999999938e-05
1.754999999999999893e-01	1.162569999999999950e-05
1.764999999999999902e-01	1.888850000000000050e-05
1.774999999999999911e-01	1.955509999999999985e-04
1.784999999999999920e-01	8.899300000000000667e-05
1.794999999999999929e-01	1.056189999999999962e-05
1.804999999999999938e-01	5.685340000000000017e-05
1.814999999999999947e-01	3.201700000000000195e-05
1.824999999999999956e-01	8.105849999999999649e-06
1.834999999999999964e-01	1.447320000000000061e-05
1.844999999999999973e-01	6.261499999999999596e-05
1.854999999999999982e-01	1.127019999999999926e-05
1.864999999999999991e-01	4.556609999999999730e-05
1.875000000000000000e-01	3.000669999999999851e-05
1.885000000000000009e-01	6.010460000000000048e-05
1.895000000000000018e-01	1.859109999999999891e-05
1.905000000000000027e-01	2.024200000000000034e-05
1.915000000000000036e-01	3.764140000000000183e-05
1.925000000000000044e-01	2.358140000000000092e-05
1.935000000000000053e-01	3.855630000000000217e-05
1.945000000000000062e-01	1.510510000000000010e-04
1.955000000000000071e-01	1.074799999999999942e-04
1.965000000000000080e-01	4.188750000000000172e-05
1.975000000000000089e-01	7.918329999999999791e-05
1.985000000000000098e-01	2.352649999999999913e-05
1.995000000000000107e-01	1.220289999999999967e-05
2.005000000000000115e-01	4.754779999999999901e-05
2.015000000000000124e-01	6.635289999999999960e-05
2.025000000000000133e-01	1.564579999999999850e-05
2.034999999999999865e-01	2.723949999999999831e-04
2.044999999999999873e-01	6.519239999999999606e-06
2.054999999999999882e-01	7.340230000000000024e-06
2.064999999999999891e-01	4.000540000000000156e-05
2.074999999999999900e-01	8.846110000000000588e-06
2.084999999999999909e-01	3.325680000000000319e-05
2.094999999999999918e-01	1.095109999999999922e-05
2.104999999999999927e-01	5.449710000000000377e-06
2.114999999999999936e-01	5.061609999999999807e-06
2.124999999999999944e-01	6.151170000000000095e-06
2.134999999999999953e-01	5.602780000000000252e-06
2.144999999999999962e-01	5.180750000000000161e-05
2.154999999999999971e-01	1.158510000000000026e-05
